cell_line,condition,score,type,label
Hela,WT1,0.00366293,real,negative
Hela,KO1,0.117046334,real,negative
Hela,KO2,0.8374944,real,negative
Hela,WT1,0.4853487,real,negative
Hela,KO2,0.63732946,real,negative
PANC-1,OE2,0.018421676,real,negative
PANC-1,WT1,0.025078278,real,negative
PANC-1,WT1,0.015379315,real,negative
PANC-1,WT1,0.0144007,real,negative
Hela,KO1,0.3620278,real,negative
PANC-1,WT3,0.002900647,real,negative
PANC-1,WT2,0.011117829,real,negative
PANC-1,WT3,0.036137693,real,negative
Hela,WT1,0.08051457,real,negative
Hela,WT3,0.005934677,real,negative
PANC-1,WT1,0.14433606,real,negative
PANC-1,OE3,0.01644236,real,negative
Hela,WT2,0.6586056,real,negative
Hela,WT2,0.94361883,real,negative
PANC-1,OE1,0.06348467,real,negative
PANC-1,OE3,0.019206498,real,negative
PANC-1,WT3,0.007183122,real,negative
PANC-1,OE2,0.17182903,real,negative
Hela,KO1,0.022989754,real,negative
Hela,KO2,0.88532823,real,negative
PANC-1,WT3,0.000586815,real,negative
PANC-1,OE1,0.053996187,real,negative
Hela,WT2,0.21579099,real,negative
PANC-1,WT2,0.21067195,real,negative
Hela,WT2,0.5714055,real,negative
PANC-1,WT3,0.002661365,real,negative
Hela,KO2,0.65910876,real,negative
PANC-1,OE3,0.020993106,real,negative
Hela,KO2,0.023715865,real,negative
PANC-1,OE3,0.001361614,real,negative
Hela,KO2,0.2053512,real,negative
Hela,KO1,0.03268574,real,negative
PANC-1,WT2,0.005261002,real,negative
Hela,KO3,0.31863505,real,negative
Hela,WT3,0.20182213,real,negative
Hela,WT3,0.31021434,real,negative
PANC-1,OE2,0.05041036,real,negative
Hela,WT1,0.10794096,real,negative
PANC-1,WT1,0.12414054,real,negative
PANC-1,OE2,0.000541039,real,negative
PANC-1,OE2,0.4908838,real,negative
PANC-1,WT2,0.5053942,real,negative
PANC-1,WT3,0.0412087,real,negative
PANC-1,OE1,0.08291876,real,negative
PANC-1,WT3,0.075855084,real,negative
PANC-1,OE2,0.021960445,real,negative
PANC-1,WT2,0.014113466,real,negative
PANC-1,WT3,0.005712008,real,negative
Hela,KO2,0.56916076,real,negative
PANC-1,WT3,0.02273149,real,negative
PANC-1,OE2,0.02291562,real,negative
Hela,KO1,0.9505425,real,negative
Hela,KO1,0.2907177,real,negative
Hela,WT1,0.13552307,real,negative
Hela,KO2,0.6454505,real,negative
PANC-1,WT3,0.003436483,real,negative
Hela,KO1,0.35364506,real,negative
PANC-1,OE2,0.1486291,real,negative
Hela,WT3,0.353981,real,negative
PANC-1,OE1,0.008198503,real,negative
Hela,WT2,0.7042693,real,negative
Hela,KO2,0.05317126,real,negative
PANC-1,WT3,0.029608818,real,negative
PANC-1,OE1,0.12933443,real,negative
Hela,WT3,0.5668892,real,negative
Hela,KO2,0.76065916,real,negative
PANC-1,WT1,0.010609414,real,negative
Hela,KO1,0.15552765,real,negative
Hela,WT1,0.21862616,real,negative
Hela,WT3,0.090403944,real,negative
Hela,WT1,0.49443728,real,negative
Hela,WT2,0.010036556,real,negative
PANC-1,OE2,0.084796794,real,negative
Hela,WT3,0.04980667,real,negative
Hela,KO2,0.9869467,real,positive
Hela,KO1,0.015855677,real,negative
PANC-1,WT3,0.13702643,real,negative
Hela,KO3,0.098583415,real,negative
Hela,WT2,0.12611909,real,negative
Hela,WT1,0.057605546,real,negative
PANC-1,WT3,0.061981324,real,negative
PANC-1,OE3,0.006386415,real,negative
Hela,WT3,0.012389641,real,negative
PANC-1,OE2,0.5701563,real,negative
Hela,WT1,0.03993025,real,negative
PANC-1,WT1,0.007073548,real,negative
Hela,KO2,0.43113548,real,negative
Hela,KO2,0.8626997,real,negative
PANC-1,WT2,0.111715905,real,negative
Hela,KO3,0.14832886,real,negative
Hela,KO1,0.036991082,real,negative
PANC-1,WT2,0.03716051,real,negative
PANC-1,OE1,0.010051434,real,negative
Hela,WT2,0.9696306,real,negative
PANC-1,WT1,0.022154147,real,negative
PANC-1,OE3,0.000127091,real,negative
Hela,WT3,0.9871918,real,positive
Hela,WT2,0.016932802,real,negative
PANC-1,WT3,0.0053309,real,negative
Hela,KO2,0.95815295,real,negative
Hela,WT3,0.6293727,real,negative
PANC-1,WT1,0.22033344,real,negative
PANC-1,WT2,0.04525986,real,negative
Hela,KO2,0.26321605,real,negative
PANC-1,OE2,0.43219742,real,negative
Hela,WT3,0.5351623,real,negative
PANC-1,OE3,0.000593508,real,negative
PANC-1,OE3,0.033393495,real,negative
Hela,KO1,0.181789,real,negative
Hela,KO1,0.017267609,real,negative
PANC-1,OE2,0.009938234,real,negative
PANC-1,WT3,0.14821722,real,negative
PANC-1,WT1,0.24418345,real,negative
PANC-1,OE2,0.25725457,real,negative
PANC-1,WT3,0.014978122,real,negative
Hela,KO1,0.052693903,real,negative
Hela,KO1,0.0982914,real,negative
PANC-1,WT1,0.006215149,real,negative
PANC-1,OE3,0.021609144,real,negative
PANC-1,OE3,0.039419066,real,negative
PANC-1,WT1,0.15991545,real,negative
Hela,KO3,0.3762028,real,negative
PANC-1,WT1,0.004512853,real,negative
Hela,KO1,0.028343428,real,negative
Hela,KO2,0.21719791,real,negative
PANC-1,WT2,0.07844077,real,negative
Hela,WT1,0.30121022,real,negative
PANC-1,WT1,0.008386911,real,negative
PANC-1,OE2,0.08964481,real,negative
Hela,WT1,0.12574318,real,negative
PANC-1,WT2,0.06171588,real,negative
PANC-1,WT2,0.03440237,real,negative
PANC-1,WT1,0.033509534,real,negative
PANC-1,WT2,0.07848519,real,negative
Hela,KO3,0.018702826,real,negative
